station,area,habitat,receiver,model,transmit_id,code_set,type,ret_req,target,company,bma,farm_id,farm_name,vessel,techs,lat_dd,long_dd,lat_ddm,long_ddm,lat_deploy_dd,long_deploy_dd,deploy_datetime_utc_3,deploy_datetime_utc,gps,recorded_deploy_depth,est_depth,riser_length,instrument_depth,deployment_comments,retrieved_y_n_l,status,retreival_vessel,retrieval_techs,retrieval_latitude_dd,retrieval_longitude_dd,gps_id,ret_depth,ret_datetime_utc_3,ret_datetime_utc,offload_datetime_utc_3,offload_datetime_utc,saved_in_folder,backed_up,fouling,hydrophone_coverage,organisms,data_check,added_to_vue_y_n,log_size,filename,retrieval_comments
AZFP-01,Passamaquoddy Bay,inner bay,133267,VR2W,NA,NA,point,November,profiler,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",44.99515,-67.00639,NA,NA,44.99335,-67.00807,2021-07-30T11:11:00Z,2021-07-30T14:11:00Z,NA,31.7,41.5,0.8,40.89,NA,Y,recovered,Viola,"Black, M.; Bradford, H.",44.99335,-67.00807,NA,NA,2021-11-01T10:11:00Z,2021-11-01T13:11:00Z,2021-11-02T15:56:00Z,2021-11-02T18:56:00Z,Y,Y,light,0,hydrozoan,Y,Y,0.4,VR2W_133267_20211102_1.csv,NA
BLP-I-01,Big L'etete Passage,inner bay,548185,VR2AR,60649,A69-1601-60649,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.06943,-66.92144,45° 4.166',-66° 55.287',45.06957,-66.9219,2021-05-06T18:04:00Z,2021-05-06T21:04:00Z,85,NA,35,2.5,34.409,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.0693,-66.92182,75,15.9,2021-11-30T13:26:00Z,2021-11-30T16:26:00Z,2021-12-10T11:05:00Z,2021-12-10T14:05:00Z,Y,Y,light,25,ciona,Y,Y,5.7,VR2AR_548185_20211210_1.csv,NA
BLP-I-02,Big L'etete Passage,inner bay,548186,VR2AR,60650,A69-1601-60650,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.06526,-66.9238,45° 3.915',-66° 55.428',45.06502,-66.92374,2021-05-06T18:07:00Z,2021-05-06T21:07:00Z,86,NA,71.7,2.5,71.1019,NA,L,adrift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stuck down on position, likely entangled in lobster gear; went adrift on Nov 29"
BLP-I-03,Big L'etete Passage,inner bay,548187,VR2AR,60651,A69-1601-60651,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.061,-66.92621,45° 3.660',-66° 55.573',45.06086,-66.92635,2021-05-06T18:09:00Z,2021-05-06T21:09:00Z,87,NA,58.4,2.5,57.7757,NA,Y,recovered,Salar,"Black, M.; Wilson, B.",45.06086,-66.92635,na,NA,2021-11-27T15:56:00Z,2021-11-27T18:56:00Z,2021-12-10T14:11:00Z,2021-12-10T17:11:00Z,Y,Y,light,0,hydrozoan,Y,Y,7.9,VR2AR_548187_20211210_1.csv,took 10 minutes to surface (~1m per minute); entangled in 2 lobster pot float lines
BLP-I-04,Big L'etete Passage,inner bay,548188,VR2AR,60652,A69-1601-60652,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.0568,-66.92859,45° 3.408',-66° 55.715',45.05676,-66.92849,2021-05-06T18:12:00Z,2021-05-06T21:12:00Z,88,NA,51.2,2.5,50.6048,NA,Y,recovered,Salar,"Black, M.; Wilson, B.",45.0568,-66.92793,46,NA,2021-11-27T15:30:00Z,2021-11-27T18:30:00Z,2021-12-10T14:11:00Z,2021-12-10T17:11:00Z,Y,Y,light,10,hydrozoan,Y,Y,6.1,VR2AR_548188_20211210_1.csv,NA
BLP-O-01,Big L'etete Passage,inner bay,546750,VR2AR,61214,A69-1601-61214,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05985,-66.91404,45° 3.591',-66° 54.843',45.05957,-66.91427,2021-05-06T17:59:00Z,2021-05-06T20:59:00Z,84,NA,32.4,2.5,31.7943,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05926,-66.91388,671,NA,2021-07-05T13:52:00Z,2021-07-05T16:52:00Z,2021-07-05T14:32:00Z,2021-07-05T17:32:00Z,Y,Y,light,20,hydrozoan,Y,y,2.9,VR2AR_546750_20210705_1.csv,NA
BLP-O-02,Big L'etete Passage,inner bay,546751,VR2AR,61215,A69-1601-61215,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05653,-66.91614,45° 3.392',-66° 54.969',45.05659,-66.9162,2021-05-06T17:56:00Z,2021-05-06T20:56:00Z,83,NA,38.9,2.5,38.2649,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05611,-66.91619,670,NA,2021-07-05T13:47:00Z,2021-07-05T16:47:00Z,2021-07-05T14:30:00Z,2021-07-05T17:30:00Z,Y,Y,clean,0,none,Y,y,3,VR2AR_546751_20210705_1.csv,NA
BLP-O-03,Big L'etete Passage,inner bay,546752,VR2AR,61216,A69-1601-61216,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05324,-66.91822,45° 3.194',-66° 55.093',45.05329,-66.91843,2021-05-06T17:55:00Z,2021-05-06T20:55:00Z,82,NA,29.9,2.5,29.3255,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05292,-66.91794,669,NA,2021-07-05T13:40:00Z,2021-07-05T16:40:00Z,2021-07-05T14:25:00Z,2021-07-05T17:25:00Z,Y,Y,clean,0,none,Y,y,2.9,VR2AR_546752_20210705_1.csv,NA
BLP-O-04,Big L'etete Passage,inner bay,546753,VR2AR,61217,A69-1601-61217,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05,-66.92028,45° 3.000',-66° 55.216',45.0501,-66.92033,2021-05-06T17:52:00Z,2021-05-06T20:52:00Z,81,NA,23.5,2.5,22.9452,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.0496,-66.91993,668,NA,2021-07-05T13:34:00Z,2021-07-05T16:34:00Z,2021-07-05T14:20:00Z,2021-07-05T17:20:00Z,Y,Y,clean,0,none,Y,y,2.7,VR2AR_546753_20210705_1.csv,NA
BR-01,Passamaquoddy Bay,estuary,124998,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.15499,-66.98152,45° 9.299',-66° 58.891',45.15255,-66.98,2021-05-07T12:28:00Z,2021-05-07T15:28:00Z,106,NA,5.9,0.8,5.25509,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.15255,-66.98,na,NA,2021-11-24T10:00:00Z,2021-11-24T13:00:00Z,2021-11-24T10:09:00Z,2021-11-24T13:09:00Z,Y,Y,light,0,bryozoan,Y,Y,0.8,VR2W_124998_20211124_1.csv,NA
BR-01B,Passamaquoddy Bay,estuary,548193,VR2AR,60657,A69-1601-60657,gate,April,river,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",45.15499,-66.98152,45° 9.299',-66° 58.891',45.15236,-66.98066,2021-11-24T10:02:00Z,2021-11-24T13:02:00Z,16,8,5.5,2.5,4.92408,NA,y,recovered,Princecraft,"Black, M.; Wilson, B.",45.15236,-66.98066,NA,NA,2022-04-26T14:00:00Z,2022-04-26T17:00:00Z,2022-04-26T16:11:00Z,2022-04-26T19:11:00Z,Y,Y,none,0,none,Y,Y,3.7,VR2AR_548193_20220426_1.csv,NA
BR-02,Passamaquoddy Bay,estuary,123515,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,ABCO,"Wilson, B.; Black, M.",NA,NA,NA,NA,45.1629,-66.98383,2021-07-13T13:38:00Z,2021-07-13T16:38:00Z,719,8.3,3.2,0.8,2.6,NA,Y,recovered,Princecraft,"Black, M.; Wilson, B.",45.16259,-66.98361,84,NA,2021-12-03T14:11:00Z,2021-12-03T17:11:00Z,2021-12-13T13:11:00Z,2021-12-13T16:11:00Z,Y,Y,light,10,hydrozoan,Y,Y,1.2,VR2W_123515_20211213_2.csv,station named as SCR-I-00 in VUE; exported new file as .csv with corrected station
CB-01,Cobscook Bay,outer bay,546686,VR2AR,61150,A69-1601-61150,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",44.89116,-67.00008,44° 53.470',-67° 0.005',44.89107,-67.00009,2021-05-06T11:05:00Z,2021-05-06T14:05:00Z,43,NA,25.4,2.5,24.7739,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",44.89092,-66.99913,661,NA,2021-07-05T10:47:00Z,2021-07-05T13:47:00Z,2021-07-05T13:10:00Z,2021-07-05T16:10:00Z,Y,Y,clean,0,none,Y,y,2.8,VR2AR_546686_20210705_1.csv,NA
CB-02,Cobscook Bay,outer bay,546689,VR2AR,61153,A69-1601-61153,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",44.88863,-67.00504,44° 53.318',-67° 0.302',44.88862,-67.00496,2021-05-06T11:08:00Z,2021-05-06T14:08:00Z,44,NA,27.8,2.5,27.1751,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",44.88831,-67.00404,662,NA,2021-07-05T10:55:00Z,2021-07-05T13:55:00Z,2021-07-05T13:24:00Z,2021-07-05T16:24:00Z,Y,Y,clean,0,none,Y,y,3.1,VR2AR_546689_20210705_1.csv,NA
CB-03,Cobscook Bay,outer bay,547427,VR2AR,61891,A69-1601-61891,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",44.88608,-67.01001,44° 53.165',-67° 0.601',44.88595,-67.00996,2021-05-06T11:11:00Z,2021-05-06T14:11:00Z,45,NA,25.6,2.5,24.9543,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",44.88542,-67.0091,663,NA,2021-07-05T11:09:00Z,2021-07-05T14:09:00Z,2021-07-05T13:30:00Z,2021-07-05T16:30:00Z,Y,Y,clean,0,none,Y,y,3.2,VR2AR_547427_20210705_1.csv,NA
CB-04,Cobscook Bay,outer bay,547428,VR2AR,61892,A69-1601-61892,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",44.8836,-67.01486,44° 53.016',-67° 0.892',44.88417,-67.01488,2021-05-06T11:13:00Z,2021-05-06T14:13:00Z,46,NA,17.3,2.5,16.6968,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",44.88373,-67.01479,664,20,2021-07-05T11:21:00Z,2021-07-05T14:21:00Z,2021-07-05T13:41:00Z,2021-07-05T16:41:00Z,Y,Y,light,20,hydrozoan,Y,y,2.7,VR2AR_547428_20210705_1.csv,NA
CH-01,Passamaquoddy Bay,inner bay,129077,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.12044,-67.04967,45° 7.226',-67° 2.980',45.12102,-67.05168,2021-05-07T11:11:00Z,2021-05-07T14:11:00Z,97,NA,5.9,0.8,5.30352,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.12087,-67.05163,22,9,2021-11-24T12:00:00Z,2021-11-24T15:00:00Z,2021-11-24T12:07:00Z,2021-11-24T15:07:00Z,Y,Y,light,0,hydrozoan,Y,Y,0.7,VR2W_129077_20211124_1.csv,possibly moved from original deployment location
CH-02,Passamaquoddy Bay,inner bay,129079,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.09299,-67.03521,45° 5.579',-67° 2.112',45.09324,-67.03506,2021-05-07T10:48:00Z,2021-05-07T13:48:00Z,96,NA,16.2,0.8,15.6332,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.09278,-67.0352,14,17.1,2021-11-24T09:07:00Z,2021-11-24T12:07:00Z,2021-11-24T09:24:00Z,2021-11-24T12:24:00Z,Y,Y,light,0,hydrozoan,Y,Y,0.8,VR2W_129079_20211124_1.csv,NA
CH-03,Passamaquoddy Bay,inner bay,129081,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.08836,-67.03978,45° 5.302',-67° 2.387',45.08833,-67.03986,2021-05-07T10:45:00Z,2021-05-07T13:45:00Z,95,NA,12.5,0.8,11.9452,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.08763,-67.03942,15,12.8,2021-11-24T09:15:00Z,2021-11-24T12:15:00Z,2021-11-24T09:41:00Z,2021-11-24T12:41:00Z,Y,Y,clean,0,none,Y,Y,0.8,VR2W_129081_20211124_1.csv,NA
DI-01,Passamaquoddy Bay,inner bay,110587,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.02707,-67.00113,45° 1.624',-67° 0.068',45.02724,-67.00077,2021-05-07T15:40:00Z,2021-05-07T18:40:00Z,122,NA,29.9,0.8,29.3347,NA,y,recovered,Viola,"Wilson, B.",45.02687,-67.00078,39,25,2021-11-26T09:47:00Z,2021-11-26T12:47:00Z,2021-12-13T12:12:00Z,2021-12-13T15:12:00Z,Y,Y,light,0,ciona,Y,Y,1.9,VR2W_110587_20211213_2.csv,station entered as DP-O-01 in VUE; exported new file as .csv with corrected station
DI-02,Passamaquoddy Bay,inner bay,111480,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.02353,-66.99611,45° 1.412',-66° 59.767',45.02367,-66.9971,2021-05-07T15:33:00Z,2021-05-07T18:33:00Z,121,NA,28.7,0.8,28.0575,NA,y,recovered,Viola,"Wilson, B.",45.023383,-66.99728,40,26.1,2021-11-26T09:53:00Z,2021-11-26T12:53:00Z,2021-12-13T13:17:00Z,2021-12-13T16:17:00Z,Y,Y,light,0,ciona,Y,Y,2.4,VR2W_111480_20211213_1.csv,NA
DI-03,Passamaquoddy Bay,inner bay,115060,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.01999,-66.99109,45° 1.199',-66° 59.466',45.01974,-66.99126,2021-05-07T15:27:00Z,2021-05-07T18:27:00Z,120,NA,30.7,0.8,30.1001,NA,y,recovered,Viola,"Wilson, B.",45.01943,-66.99138,41,29.6,2021-11-26T09:59:00Z,2021-11-26T12:59:00Z,2021-12-13T13:07:00Z,2021-12-13T16:07:00Z,Y,Y,light,0,ciona,Y,Y,3.3,VR2W_115060_20211213_1.csv,NA
DI-04,Passamaquoddy Bay,inner bay,115076,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.01639,-66.98599,45° 0.983',-66° 59.160',45.01635,-66.98602,2021-05-07T15:21:00Z,2021-05-07T18:21:00Z,119,NA,31.7,0.8,31.1234,NA,y,recovered,Viola,"Wilson, B.",45.01608,-66.98602,42,32.1,2021-11-26T10:06:00Z,2021-11-26T13:06:00Z,2021-12-13T12:16:00Z,2021-12-13T15:16:00Z,Y,Y,light,0,ciona,Y,Y,3,VR2W_115076_20211213_1.csv,NA
DP-I-01,Doyle's Passage,inner bay,115078,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.02133,-66.96287,45° 1.280',-66° 57.772',45.02122,-66.9629,2021-05-07T15:06:00Z,2021-05-07T18:06:00Z,118,NA,13.1,0.8,12.4658,NA,y,recovered,Viola,"Wilson, B.",45.02118,-66.96293,43,12.8,2021-11-26T10:21:00Z,2021-11-26T13:21:00Z,2021-12-13T12:22:00Z,2021-12-13T15:22:00Z,Y,Y,light,0,ciona,Y,Y,2.7,VR2W_115078_20211213_1.csv,NA
DP-O-01,Doyle's Passage,inner bay,115087,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.02877,-66.94311,45° 1.726',-66° 56.587',45.02903,-66.9418,2021-05-07T14:48:00Z,2021-05-07T17:48:00Z,117,NA,5.1,0.8,4.54648,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.02904,-66.94164,672,9.2,2021-07-06T10:45:00Z,2021-07-06T13:45:00Z,2021-07-06T10:58:00Z,2021-07-06T13:58:00Z,Y,Y,clean,0,urchins,Y,Y,0.8,VR2W_115087_20210706_2.csv,station entered as DI-01 in VUE; exported new file as .csv with corrected station
DR-01,Passamaquoddy Bay,estuary,119146,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.15163,-66.95107,45° 9.098',-66° 57.064',45.15447,-66.95438,2021-05-07T12:58:00Z,2021-05-07T15:58:00Z,108,NA,5.7,0.8,5.13369,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.15405,-66.9541,18,7.1,2021-11-24T10:36:00Z,2021-11-24T13:36:00Z,2021-11-24T10:45:00Z,2021-11-24T13:45:00Z,Y,Y,light,0,bryozoan,Y,Y,0.9,VR2W_119146_20211124_1.csv,NA
DR-02,Passamaquoddy Bay,estuary,119153,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.15166,-66.96471,45° 9.099',-66° 57.882',45.1516,-66.96471,2021-05-07T12:41:00Z,2021-05-07T15:41:00Z,107,NA,16.8,0.8,16.2072,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.1514,-66.96425,17,21,2021-11-24T10:20:00Z,2021-11-24T13:20:00Z,2021-11-24T10:26:00Z,2021-11-24T13:26:00Z,Y,Y,clean,0,none,Y,Y,1,VR2W_119153_20211124_1.csv,NA
DR-03,Passamaquoddy Bay,estuary,134767,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,ABCO,"Wilson, B.; Black, M.",NA,NA,NA,NA,45.18426,-66.95972,2021-07-13T14:30:00Z,2021-07-13T17:30:00Z,720,9.5,2.1,0.8,1.5,NA,Y,recovered,Princecraft,"Black, M.; Wilson, B.",45.18391,-66.95982,82,NA,2021-12-03T13:33:00Z,2021-12-03T16:33:00Z,2021-12-03T16:16:00Z,2021-12-03T19:16:00Z,Y,Y,clean,0,none,Y,Y,0.4,VR2W_134767_20211203_1.csv,NA
DR-03B,Passamaquoddy Bay,estuary,548191,VR2AR,60655,A69-1601-60655,gate,April,river,NA,NA,NA,NA,Princecraft,"Wilson, B.; Black, M.",NA,NA,NA,NA,45.18399,-66.95982,2021-12-03T13:34:00Z,2021-12-03T16:34:00Z,83,NA,2.1,2.5,1.5,NA,Y,recovered,Princecraft,"Black, M.; Wilson, B.",45.18399,-66.95982,NA,NA,2022-04-26T13:21:00Z,2022-04-26T16:21:00Z,2022-04-26T16:19:00Z,2022-04-26T19:19:00Z,Y,Y,clean,0,none,Y,Y,NA,VR2AR_548191_20220426_1.csv,NA
DS-01,Saint Croix River,estuary,133266,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,shore,"Wilson, B.; Black, M.",NA,NA,NA,NA,45.19155,-67.25869,2021-09-10T09:16:00Z,2021-09-10T12:16:00Z,NA,1,1.2,0.8,0.6,NA,Y,recovered,shore,"Black, M.",45.19155,-67.25869,NA,1,2022-01-10T09:54:00Z,2022-01-10T12:54:00Z,2022-01-13T15:20:00Z,2022-01-13T18:20:00Z,Y,Y,clean,0,none,Y,Y,0.7,VR2W_133266_20220113_1.csv,NA
FI-01,Fundy Isles,outer bay,546682,VR2AR,61146,A69-1601-61146,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.03661,-66.80751,45° 2.197',-66° 48.451',45.03654,-66.80747,2021-05-06T14:59:00Z,2021-05-06T17:59:00Z,66,NA,24.6,2.5,24.042,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.03647,-66.80746,680,28.6,2021-07-07T09:54:00Z,2021-07-07T12:54:00Z,2021-07-08T15:54:00Z,2021-07-08T18:54:00Z,Y,Y,clean,0,none,Y,Y,3.1,VR2AR_546682_20210708_1.csv,NA
FI-01B,Fundy Isles,outer bay,124676,VR2W,NA,NA,gate,November,bay,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",45.036612,-66.80751,45° 2.197',-66° 48.451',45.03666,-66.80779,2021-07-07T10:02:00Z,2021-07-07T13:02:00Z,681,NA,24.6,0.8,24.042,NA,Y,recovered,Viola,"Black, M.; Wilson, B.; Bradford, H.",45.0368,-66.80747,10,25,2021-11-23T10:54:00Z,2021-11-23T13:54:00Z,2021-11-23T13:04:00Z,2021-11-23T16:04:00Z,Y,Y,light,0,barnacles,Y,Y,1.7,VR2W_124676_20211123_1.csv,NA
FI-02,Fundy Isles,outer bay,550012,VR2AR,60285,A69-1601-60285,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.03453,-66.81232,45° 2.072',-66° 48.739',45.03454,-66.81226,2021-05-06T14:57:00Z,2021-05-06T17:57:00Z,65,NA,34.4,2.5,33.8159,NA,Y,recovered,Viola,"Black, M.; Wilson, B.; Bradford, H.",45.03476,-66.81222,11,28,2021-11-23T11:05:00Z,2021-11-23T14:05:00Z,2021-11-23T12:45:00Z,2021-11-23T15:45:00Z,Y,Y,light,0,ciona,Y,Y,3.2,VR2AR_550012_20211123_1.csv,NA
FI-03,Fundy Isles,outer bay,550013,VR2AR,60286,A69-1601-60286,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.03287,-66.8185,45° 1.972',-66° 49.110',45.03286,-66.81839,2021-05-06T14:54:00Z,2021-05-06T17:54:00Z,64,NA,26.9,2.5,26.2758,NA,Y,recovered,Viola,"Black, M.; Wilson, B.; Bradford, H.",45.03288,-66.81828,12,24,2021-11-23T11:13:00Z,2021-11-23T14:13:00Z,2021-11-23T12:30:00Z,2021-11-23T15:30:00Z,Y,Y,light,0,ciona,Y,y,3,VR2AR_550013_20211123_1.csv,NA
FI-04,Fundy Isles,outer bay,547437,VR2AR,61901,A69-1601-61901,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.01591,-66.85219,45° 0.955',-66° 51.132',45.015860000000004,-66.85237,2021-05-06T14:30:00Z,2021-05-06T17:30:00Z,63,NA,26.5,2.5,25.8807,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.01574,-66.85227,682,NA,2021-07-07T10:17:00Z,2021-07-07T13:17:00Z,2021-07-08T16:03:00Z,2021-07-08T19:03:00Z,Y,Y,light,20,hydrozoan,Y,Y,4.3,VR2AR_547437_20210708_1.csv,NA
FI-04B,Fundy Isles,outer bay,546750,VR2AR,61214,A69-1601-61214,gate,November,bay,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",45.015913,-66.852193,45° 0.955',-66° 51.132',45.01607,-66.85227,2021-07-07T10:20:00Z,2021-07-07T13:20:00Z,683,NA,16.9,2.5,16.2872,NA,Y,recovered,Viola,"Wilson, B.",45.01562,-66.85268,47,NA,2021-11-29T10:20:00Z,2021-11-29T13:20:00Z,2021-12-10T12:02:00Z,2021-12-10T15:02:00Z,Y,Y,medium,20,ciona,Y,Y,6.1,VR2AR_546750_20211210_1.csv,NA
FI-05,Fundy Isles,outer bay,547438,VR2AR,61902,A69-1601-61902,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.01151,-66.85541,45° 0.690',-66° 51.324',45.01163,-66.85547,2021-05-06T14:25:00Z,2021-05-06T17:25:00Z,62,NA,56.7,2.5,56.0751,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.01159,-66.8557,684,NA,2021-07-07T10:24:00Z,2021-07-07T13:24:00Z,2021-07-08T16:06:00Z,2021-07-08T19:06:00Z,Y,Y,clean,0,none,Y,Y,3,VR2AR_547438_20210708_1.csv,NA
FI-05B,Fundy Isles,outer bay,546751,VR2AR,61215,A69-1601-61215,gate,November,bay,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",45.011507,-66.855405,45° 0.690',-66° 51.324',45.01151,-66.85601,2021-07-07T10:27:00Z,2021-07-07T13:27:00Z,685,NA,56.9,2.5,56.3188,NA,Y,recovered,Viola,"Wilson, B.",45.011,-66.8552,48,NA,2021-11-29T10:27:00Z,2021-11-29T13:27:00Z,2021-12-10T10:39:00Z,2021-12-10T13:39:00Z,Y,Y,light,10,hydrozoan,Y,Y,6.2,VR2AR_546751_20211210_1.csv,NA
FI-06,Fundy Isles,outer bay,547441,VR2AR,61905,A69-1601-61905,gate,July,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.00716,-66.85858,45° 0.429',-66° 51.515',45.00713,-66.85887,2021-05-06T14:22:00Z,2021-05-06T17:22:00Z,61,NA,88.2,2.5,87.6434,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.00697,-66.85906,686,NA,2021-07-07T10:34:00Z,2021-07-07T13:34:00Z,2021-07-08T15:58:00Z,2021-07-08T18:58:00Z,Y,Y,clean,0,none,Y,Y,3,VR2AR_547441_20210708_1.csv,NA
FI-06B,Fundy Isles,outer bay,546752,VR2AR,61216,A69-1601-61216,gate,November,bay,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",45.007158,-66.858576,45° 0.429',-66° 51.515',45.00693,-66.85914,2021-07-07T10:35:00Z,2021-07-07T13:35:00Z,687,NA,88.2,2.5,87.6434,NA,Y,recovered,Viola,"Wilson, B.",45.00693,-66.85914,na,NA,2021-11-29T10:33:00Z,2021-11-29T13:33:00Z,2021-12-10T11:10:00Z,2021-12-10T14:10:00Z,Y,Y,light,0,hydrozoan,Y,Y,6.2,VR2AR_546752_20211210_1.csv,NA
